INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHIMIPREDICTOR
FUTURE,33,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,34,ADMIMETH_1,-1.803043110130453,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,34,ADMIMETH_1,-1.5290932065795846,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,34,ADMIMETH_1,-1.2000790663264242,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,35,ADMIMETH_1,-1.0593635548411813,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,35,ADMIMETH_1,-1.07457906045813,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,35,ADMIMETH_1,-1.0654826726078643,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,36,ADMIMETH_1,-2.6721724902303547,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,36,ADMIMETH_1,-2.654600202049638,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,36,ADMIMETH_1,-2.648349092439161,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,37,ADMIMETH_1,-0.641556273659642,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,37,ADMIMETH_1,-0.5845191551751778,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,37,ADMIMETH_1,-0.5541141777757126,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,38,ADMIMETH_1,-2.0156751600876843,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,38,ADMIMETH_1,-1.9687196027764688,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,38,ADMIMETH_1,-1.9362358602135068,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
